"LONGITUDE","LATITUDE","TYPEQU"
"-0.6701415","44.903978","historic"
"0.0519259","45.5564956","historic"
"0.1638508","45.3777517","historic"
"-0.5827811","44.8154334","historic"
"-0.5812941","44.8126682","historic"
"-0.6363537","45.4408798","historic"
"-0.2751493","45.2409121","historic"
"-0.257083","44.5943007","historic"
"-1.1590415","45.4178454","historic"
"-0.1563527","44.5626512","historic"
"-0.4399144","44.8854896","historic"
"-0.3084357","44.5974929","historic"
"-0.3178936","44.6076367","historic"
"0.270401","45.4292386","historic"
"-0.118919","44.9256436","historic"
"-0.1349389","44.9228708","historic"
"-0.6260921","44.7913056","historic"
"-0.6245013","44.7922541","historic"
"0.3142696","45.1064735","historic"
"-1.128835","45.2151917","historic"
"-0.6707548","44.8416647","historic"
"0.0515494","45.0184968","historic"
"-0.1569884","44.894428","historic"
"0.0781149","44.5137494","historic"
"0.1923559","44.4736836","historic"
"-0.6538745","44.763627","historic"
"0.0367715","44.8273275","historic"
"-0.5639841","44.8346735","historic"
"-0.5640243","44.8347111","historic"
"-0.5642195","44.8348585","historic"
"-0.564765","44.8353333","historic"
"-0.5647998","44.8353628","historic"
"-0.5655549","44.8361072","historic"
"-0.5655938","44.8361238","historic"
"-0.5656742","44.8361005","historic"
"-0.5657916","44.8360962","historic"
"-0.5661055","44.8361795","historic"
"-0.5676868","44.8381365","historic"
"-0.5679041","44.8383925","historic"
"-0.5680272","44.8385884","historic"
"-0.5680513","44.8386141","historic"
"-0.5681345","44.838736","historic"
"-0.568206","44.8387622","historic"
"-0.5682838","44.8389291","historic"
"-0.5684373","44.8391298","historic"
"-0.5687317","44.8395017","historic"
"-0.5707356","44.8412896","historic"
"-0.5705502","44.8411733","historic"
"-0.5704992","44.8411082","historic"
"-0.5704861","44.8410642","historic"
"-0.5704682","44.8410199","historic"
"-0.5703951","44.8409438","historic"
"-0.5702945","44.8409058","historic"
"-0.5707602","44.8413556","historic"
"-0.5705317","44.8419679","historic"
"-0.5706591","44.8419084","historic"
"-0.5707034","44.8418556","historic"
"-0.5707382","44.8418091","historic"
"-0.5707537","44.841761","historic"
"-0.5707315","44.841704","historic"
"-0.5707107","44.8416526","historic"
"-0.570692","44.8416046","historic"
"-0.5707","44.8415062","historic"
"-0.6327546","44.765677","historic"
"-0.5629166","44.8311326","historic"
"-0.57966","44.8419237","historic"
"-0.5797043","44.84184","historic"
"-0.5795871","44.8416139","historic"
"-0.5797106","44.8415962","historic"
"-0.579771","44.8415791","historic"
"-0.5799809","44.8412002","historic"
"-0.5801612","44.8405084","historic"
"-0.5802699","44.8405003","historic"
"-0.5803181","44.840496","historic"
"-0.58041","44.8404893","historic"
"-0.5804402","44.8404836","historic"
"-0.581259","44.8406681","historic"
"-0.5832612","44.8424247","historic"
"-0.5764114","44.8502962","historic"
"-0.5751732","44.841941","historic"
"-0.5717139","44.8406846","historic"
"-0.571734","44.8406061","historic"
"-0.5717427","44.8405548","historic"
"-0.5719272","44.8409147","historic"
"-0.5720076","44.8409214","historic"
"-0.5694108","44.8402772","historic"
"-0.5683483","44.8389094","historic"
"-0.5557208","44.7208851","historic"
"-0.6507438","44.885581","historic"
"-0.5349378","44.8755099","historic"
"-0.5272543","44.8379551","historic"
"-0.5884904","44.8415616","historic"
"-0.5799039","44.8415011","historic"
"-0.2730955","44.5306446","leisure"
"0.2526829","45.2519469","historic"
"-1.1782673","44.6568346","historic"
"-0.9900073","44.8804804","historic"
"-1.1412062","44.8000165","historic"
"-0.5866581","45.004954","historic"
"-0.8357549","45.2509292","historic"
"-0.822726","45.3249771","historic"
"-0.2266413","44.3432253","historic"
"-0.299423","44.5910402","historic"
"-0.3557733","44.6475448","historic"
"-0.3528285","44.6516103","historic"
"-0.491142","44.6498624","historic"
"0.1281877","45.5508894","historic"
"0.0053886","45.5593973","historic"
"-0.540453","44.8023893","historic"
"-0.5425866","44.801275","historic"
"-0.5429857","44.8007673","historic"
"-0.5707218","44.7824552","historic"
"-0.5669301","44.7889945","historic"
"-0.5443979","44.7695964","historic"
"0.1878716","45.4434054","historic"
"0.1876225","45.541055","historic"
"-0.0283282","45.3313847","historic"
"0.1458961","45.5240732","historic"
"0.0292025","45.4969266","historic"
"-0.4348898","44.8255288","historic"
"-0.4321492","44.7386652","historic"
"-0.316671","44.6386945","historic"
"-0.2282655","44.5629002","historic"
"-0.2247043","44.5652616","historic"
"-0.2248015","44.5652219","historic"
"-0.2248981","44.5651885","historic"
"-0.0659694","44.613602","historic"
"-0.0648565","44.6069302","historic"
"-0.0389694","44.5822783","historic"
"-0.0377866","44.581426","historic"
"-0.0881048","44.5358502","historic"
"-0.2093974","44.4325167","historic"
"-0.2112604","44.4321435","historic"
"-0.2110517","44.4317795","historic"
"-0.2116261","44.4312083","historic"
"-0.5234455","45.2690393","historic"
"-0.1234084","44.7316658","historic"
"-0.5995354","45.1651256","historic"
"-0.5661672","45.1634378","historic"
"-0.444204","45.2464717","historic"
"-0.2425037","44.9337904","historic"
"-0.0799363","44.9072852","historic"
"-0.0544564","44.892139","historic"
"-0.0434138","44.9353811","historic"
"-0.1243983","45.016906","historic"
"-0.3293769","44.9505761","historic"
"-0.4557115","45.0092279","historic"
"-0.5341724","44.9744943","historic"
"-0.2163506","44.8181979","historic"
"-0.1986846","44.7704033","historic"
"0.0857766","44.8309654","historic"
"0.2216241","44.8395876","historic"
"-0.1004447","44.6552997","historic"
"-0.1857854","45.216118","historic"
"-0.7400818","44.7555478","historic"
"-0.4632202","44.7803139","historic"
"-0.2613467","45.5888791","historic"
"-0.2423293","45.5861467","historic"
