,LONGITUDE,LATITUDE,TYPEQU
2658,-0.559342,44.840137,E110
2659,-0.559849,44.839943,E110
2660,-0.560016,44.840588,E110
2661,-0.605068,44.83102,E110
2662,-0.604243,44.830795,E110
2663,-0.543,44.808605,E110
2664,-0.54266,44.808636,E110
2665,-0.719782,44.84668,E110
2666,-0.72009,44.846733,E110
2667,-0.530022,44.77655,E110
2668,-0.53034,44.77698,E110
2669,-0.532653,44.77916,E110
2670,-0.533159,44.779556,E110
2671,-0.530648,44.799816,E110
2672,-0.530654,44.7995,E110
2673,-0.597202,44.826263,E110
2674,-0.59691,44.826447,E110
2675,-0.622136,44.834286,E110
2676,-0.640426,44.83583,E110
2677,-0.63964,44.83562,E110
2678,-0.544539,44.8015,E110
2679,-0.544324,44.8013,E110
2680,-0.534923,44.79493,E110
2681,-0.535053,44.794792,E110
2682,-0.539317,44.80602,E110
2683,-0.539379,44.806,E110
2684,-0.684809,44.845074,E110
2685,-0.684248,44.84502,E110
2686,-0.696057,44.860813,E110
2687,-0.694508,44.855953,E110
2688,-0.694371,44.85522,E110
2689,-0.617352,44.8308,E110
2690,-0.625327,44.83171,E110
2691,-0.617873,44.833576,E110
2692,-0.61086,44.832455,E110
2693,-0.679934,44.843945,E110
2694,-0.679802,44.84387,E110
2695,-0.625589,44.834984,E110
2696,-0.645894,44.83714,E110
2697,-0.64639,44.837177,E110
2698,-0.532856,44.796486,E110
2699,-0.53259,44.796474,E110
2700,-0.528843,44.774307,E110
2701,-0.642054,44.836327,E110
2702,-0.641773,44.836094,E110
2703,-0.677932,44.846077,E110
2704,-0.677937,44.846336,E110
2705,-0.528225,44.77393,E110
2706,-0.528887,44.77399,E110
2707,-0.530235,44.797676,E110
2708,-0.530246,44.79744,E110
2709,-0.611131,44.832138,E110
2710,-0.547389,44.807743,E110
2711,-0.547712,44.80765,E110
2712,-0.53488,44.792645,E110
2713,-0.534975,44.792534,E110
2714,-0.648523,44.83705,E110
2715,-0.649228,44.836983,E110
2716,-0.649009,44.837128,E110
2717,-0.541821,44.798748,E110
2718,-0.541854,44.798874,E110
2719,-0.632701,44.835274,E110
2720,-0.632936,44.835384,E110
2721,-0.543489,44.804726,E110
2722,-0.543125,44.80517,E110
2723,-0.795393,44.84455,E110
2724,-0.79511,44.844868,E110
2725,-0.786605,44.84388,E110
2726,-0.786588,44.843807,E110
2727,-0.792102,44.844414,E110
2728,-0.79084,44.844105,E110
2729,-0.775396,44.845245,E110
2730,-0.775427,44.845325,E110
2731,-0.780556,44.846043,E110
2732,-0.77981,44.846264,E110
2733,-0.763795,44.841724,E110
2734,-0.762397,44.84147,E110
2735,-0.768807,44.842213,E110
2736,-0.769464,44.84238,E110
2737,-0.77529,44.84103,E110
2738,-0.775439,44.84099,E110
2739,-0.774517,44.84385,E110
2740,-0.774397,44.843952,E110
2741,-0.755315,44.840717,E110
2742,-0.756253,44.840908,E110
2743,-0.707253,44.848038,E110
2744,-0.707121,44.84796,E110
2745,-0.726403,44.84564,E110
2746,-0.726208,44.845566,E110
2747,-0.737558,44.843445,E110
2748,-0.737528,44.84356,E110
2749,-0.636171,44.83487,E110
2750,-0.636414,44.83471,E110
2751,-0.535385,44.7896,E110
2752,-0.535553,44.78946,E110
2753,-0.620857,44.83075,E110
2754,-0.692032,44.84779,E110
2755,-0.692338,44.847614,E110
2756,-0.692856,44.85068,E110
2757,-0.550944,44.815723,E110
2758,-0.551588,44.815495,E110
2759,-0.627587,44.833763,E110
2760,-0.555072,44.81352,E110
2761,-0.554429,44.813972,E110
2762,-0.652794,44.83845,E110
2763,-0.65276,44.83831,E110
2764,-0.669359,44.842648,E110
