,TYPEQU,CATEGORIE,LONGITUDE,LATITUDE
194,D502,Action sociale pour enfants en bas-âge,-0.720114124951694,45.0972934970577
195,D502,Action sociale pour enfants en bas-âge,-0.249091121986754,44.5490516320218
196,D502,Action sociale pour enfants en bas-âge,-1.04929251564267,44.714133234932
197,D502,Action sociale pour enfants en bas-âge,-0.505167915317493,44.7850281715582
198,D502,Action sociale pour enfants en bas-âge,-0.484745171326192,44.7870663002039
199,D502,Action sociale pour enfants en bas-âge,-1.15159971015321,44.796417095834
200,D502,Action sociale pour enfants en bas-âge,-1.18340512051455,44.7502992022204
201,D502,Action sociale pour enfants en bas-âge,-1.15387470719435,44.7982545054211
202,D502,Action sociale pour enfants en bas-âge,-0.601912072670016,44.7271227414204
203,D502,Action sociale pour enfants en bas-âge,-0.242271205652979,44.9380432184607
204,D502,Action sociale pour enfants en bas-âge,-0.233661250416268,44.9398051142119
205,D502,Action sociale pour enfants en bas-âge,-0.242951325488989,44.9113880401055
206,D502,Action sociale pour enfants en bas-âge,-0.229943519006672,44.9198126332366
207,D502,Action sociale pour enfants en bas-âge,-0.246977346078152,44.9146341728633
208,D502,Action sociale pour enfants en bas-âge,-0.232203959541866,44.9173741720936
209,D502,Action sociale pour enfants en bas-âge,-0.528677622728893,44.882107442785
210,D502,Action sociale pour enfants en bas-âge,-0.519912020507708,44.8675729647287
211,D502,Action sociale pour enfants en bas-âge,-0.509567941260184,44.8701434998713
212,D502,Action sociale pour enfants en bas-âge,-0.522246864426068,44.8699061662688
213,D502,Action sociale pour enfants en bas-âge,-0.632841861460696,44.9832987445974
214,D502,Action sociale pour enfants en bas-âge,-0.403824648418231,44.7630895907024
215,D502,Action sociale pour enfants en bas-âge,-0.655294661034527,45.028464379351
216,D502,Action sociale pour enfants en bas-âge,-0.542883797307855,44.7139081607738
217,D502,Action sociale pour enfants en bas-âge,-0.652123810470988,44.8385357374114
218,D502,Action sociale pour enfants en bas-âge,-0.652123810470988,44.8385357374114
219,D502,Action sociale pour enfants en bas-âge,-0.700794738512601,44.8179263346985
220,D502,Action sociale pour enfants en bas-âge,-0.651083117810482,44.8408645186234
221,D502,Action sociale pour enfants en bas-âge,-0.628199484249948,44.8234806569864
222,D502,Action sociale pour enfants en bas-âge,-0.650131034996486,44.8468350304847
223,D502,Action sociale pour enfants en bas-âge,-0.647179338311455,44.8470341536763
224,D502,Action sociale pour enfants en bas-âge,-0.690759612488233,44.8378578319142
225,D502,Action sociale pour enfants en bas-âge,-0.627889767065922,44.8298503001381
226,D502,Action sociale pour enfants en bas-âge,-0.621138055709474,44.8356450267956
227,D502,Action sociale pour enfants en bas-âge,-0.684469549467741,44.8300200924088
228,D502,Action sociale pour enfants en bas-âge,-0.649688555417468,44.8520562895299
229,D502,Action sociale pour enfants en bas-âge,-0.627325936979289,44.819934146586
230,D502,Action sociale pour enfants en bas-âge,-0.627325936979289,44.819934146586
231,D502,Action sociale pour enfants en bas-âge,-0.702973955209663,44.8170620297596
232,D502,Action sociale pour enfants en bas-âge,-0.681389978983096,44.8394686804067
233,D502,Action sociale pour enfants en bas-âge,-0.685240319270488,44.8361885533975
234,D502,Action sociale pour enfants en bas-âge,-0.67450256782237,44.8502339266203
235,D502,Action sociale pour enfants en bas-âge,-0.941151271895657,44.6063993565731
236,D502,Action sociale pour enfants en bas-âge,0.0852516143133896,44.6508291931253
237,D502,Action sociale pour enfants en bas-âge,-0.363728766948691,44.4802807590638
238,D502,Action sociale pour enfants en bas-âge,-0.608727679780082,44.9470895326675
239,D502,Action sociale pour enfants en bas-âge,-0.74735230168208,45.1884755856166
240,D502,Action sociale pour enfants en bas-âge,0.0698847920623951,44.7544662915078
241,D502,Action sociale pour enfants en bas-âge,-0.703503853472955,44.7918095890843
242,D502,Action sociale pour enfants en bas-âge,-0.650038167712701,44.7967027547248
243,D502,Action sociale pour enfants en bas-âge,-0.611406759704946,44.7955530050072
244,D502,Action sociale pour enfants en bas-âge,-0.660503412937405,44.7854987141357
245,D502,Action sociale pour enfants en bas-âge,-0.629334073201016,44.7954523957531
246,D502,Action sociale pour enfants en bas-âge,-0.654976485767874,44.7818996742477
247,D502,Action sociale pour enfants en bas-âge,-0.66760235548082,44.7980249369244
248,D502,Action sociale pour enfants en bas-âge,-0.629499523994337,44.8038369069841
249,D502,Action sociale pour enfants en bas-âge,-0.632243117173037,44.8105097421646
250,D502,Action sociale pour enfants en bas-âge,-0.644717129713113,44.7962798852698
251,D502,Action sociale pour enfants en bas-âge,-0.654100063486189,44.7847302086651
252,D502,Action sociale pour enfants en bas-âge,-0.640349056367638,44.7916293081629
253,D502,Action sociale pour enfants en bas-âge,-0.631802476720071,44.7948282416001
254,D502,Action sociale pour enfants en bas-âge,-0.655761454945123,44.7896672371747
255,D502,Action sociale pour enfants en bas-âge,-0.428031611406506,45.0461090709285
256,D502,Action sociale pour enfants en bas-âge,-0.674140862093047,44.9552041304672
257,D502,Action sociale pour enfants en bas-âge,-0.422206978937714,44.6967120655584
258,D502,Action sociale pour enfants en bas-âge,-0.320834134130299,44.5662952517623
259,D502,Action sociale pour enfants en bas-âge,-0.49430440608774,45.0832729048559
260,D502,Action sociale pour enfants en bas-âge,-0.0406584827342233,44.5874547036915
261,D502,Action sociale pour enfants en bas-âge,-0.387622724267851,44.7947757940165
262,D502,Action sociale pour enfants en bas-âge,-0.445290806656551,44.9941085429351
263,D502,Action sociale pour enfants en bas-âge,-0.720286980435743,44.9117959833894
264,D502,Action sociale pour enfants en bas-âge,-0.720410344549366,44.9124431669227
265,D502,Action sociale pour enfants en bas-âge,-0.202765033179397,44.9912199686041
266,D502,Action sociale pour enfants en bas-âge,-0.157130884501748,44.8969899424744
267,D502,Action sociale pour enfants en bas-âge,-0.483040940653714,44.9082775168006
268,D502,Action sociale pour enfants en bas-âge,0.215409191774086,44.8399670479944
269,D502,Action sociale pour enfants en bas-âge,-0.321388032723371,44.8578631289746
270,D502,Action sociale pour enfants en bas-âge,-0.771743466040559,44.8103704257646
271,D502,Action sociale pour enfants en bas-âge,-0.424963184178311,44.9123475113889
272,D502,Action sociale pour enfants en bas-âge,-0.64544705081942,44.5331554103953
273,D502,Action sociale pour enfants en bas-âge,-0.0587265679280693,44.8533990461118
274,D502,Action sociale pour enfants en bas-âge,-0.511744750365616,44.718485033304
275,D502,Action sociale pour enfants en bas-âge,-0.711244618691551,44.8912941979463
276,D502,Action sociale pour enfants en bas-âge,-0.711227489739219,44.8912882809847
277,D502,Action sociale pour enfants en bas-âge,-0.711227489739219,44.8912882809847
278,D502,Action sociale pour enfants en bas-âge,-0.717608189691102,44.8968425615193
279,D502,Action sociale pour enfants en bas-âge,-0.725873183066732,44.8643777792544
280,D502,Action sociale pour enfants en bas-âge,-0.744650155694814,44.8993421567755
281,D502,Action sociale pour enfants en bas-âge,-0.117554273746336,44.8511643752837
282,D502,Action sociale pour enfants en bas-âge,-0.190329833498999,44.5740388035271
283,D502,Action sociale pour enfants en bas-âge,-0.221489763658116,44.5518905097172
284,D502,Action sociale pour enfants en bas-âge,-0.286350649779109,44.8197817233156
285,D502,Action sociale pour enfants en bas-âge,-0.442001818814516,45.1395397473675
286,D502,Action sociale pour enfants en bas-âge,-0.491837883064181,44.427148303209
287,D502,Action sociale pour enfants en bas-âge,-0.392079766311237,45.1387042664811
288,D502,Action sociale pour enfants en bas-âge,-0.405697947537469,44.8332949953177
289,D502,Action sociale pour enfants en bas-âge,-0.86631613748028,44.5511500229478
290,D502,Action sociale pour enfants en bas-âge,-0.594854008756885,44.6516764235565
291,D502,Action sociale pour enfants en bas-âge,-0.0797303563597462,44.6927445509122
292,D502,Action sociale pour enfants en bas-âge,-0.698901911956103,44.9036645676075
293,D502,Action sociale pour enfants en bas-âge,-0.669547859689541,44.901812350235
294,D502,Action sociale pour enfants en bas-âge,-0.591581297519371,44.7886079741005
295,D502,Action sociale pour enfants en bas-âge,-0.602321816640828,44.8050999137216
296,D502,Action sociale pour enfants en bas-âge,-0.588363885831384,44.8044877549308
297,D502,Action sociale pour enfants en bas-âge,-0.591657008220271,44.8139350140241
298,D502,Action sociale pour enfants en bas-âge,-0.591406375097321,44.7926729555122
299,D502,Action sociale pour enfants en bas-âge,-0.594280345302631,44.817814889969
300,D502,Action sociale pour enfants en bas-âge,-0.595080236284444,44.818070146607
301,D502,Action sociale pour enfants en bas-âge,-0.600369190289383,44.8133859898884
302,D502,Action sociale pour enfants en bas-âge,-0.574231064559159,44.8075230381589
303,D502,Action sociale pour enfants en bas-âge,-0.263024948646126,44.7368750150844
